"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"e91930bbb3d30a5a05d91c1301e8b53e","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"0b9a8b436e813538a6a50734c5698812","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"a239d1ff83620d79d2cdd570843c7483","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"47ed30ff62082d5b78a867c6678860d8","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"1955c36a7141e56a3aa35473713ccf29","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"c55960d6b106472242cba393fa8f3744","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"16e4276be08033b6e9bfbd54c817b78a","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"c9caf1e1a5070a2c617196c2a529a8ae","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"fea8cf3b063370a298f04846d3f92f0b","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"0901c6311230b58cbba83ae848aa7112","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"b8379a9b5d0a77c571e5fb5021b0a23c","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"daf2e672a38a6c45a37ef7f4ba125d3e","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"698b180759b0392b3bcec6cc0fd0c631","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"9c55be6ee18024cbb53c0e5ea49d7ec9","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"9ec9d63f3db8acc875f7665cf063f3b6","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"6e9dec4d12ebbd912ab8a1160752cfe6","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"d3d42c85b4905ccd327c7ac607cf5039","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"3e5d38f620f35bb224767ae8c0574c27","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"e5161e2eb595ff9b096daa4315e15969","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"a507c24cc108b2a85bf867557c9e987d","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","[Prevotella]",NA
"15041c09c6157bfeb4d763b27478cd37","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","[Prevotella]",NA
"457cb67d8471ecdd34523b4634234132","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","[Prevotella]",NA
"bc12eecea9c430d3e02fdfc7adbc9670","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","[Prevotella]",NA
"0c99229a8f33824b36d3eccba286cebe","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","[Prevotella]",NA
"2930ce0c8c0e71ee4a0f161a4d5fc6b4","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","[Prevotella]",NA
"6ea9ba6f148bedd6fcfe1bb1916688e2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","[Prevotella]",NA
"df1ce85ab323b711ebe3aaee27b258ae","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"e9eac97c7ff46c8eb998c4a8f2c60ab9","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"837db9efa7c388ac65d7c49853d8335d","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"9677010f7d64a2907fe7088970a9e268","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"bd827f0a6c431d4294521326d61e1f6d","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"dc75096c47c90b9b802cab1bf9c89966","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"7b46a3d2ffd5941d13ba4132509059fa","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"2035115499eb05f12ec469facac4885c","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"8d30208c8902d49b0064bef074d486f9","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"311a8daa271f224f9bcebda698803bce","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"8622987ddfa6f1a7d9909f49018cb1f1","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"38576d73b4d4cc401ed1f5a4ec1eaca2","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"f7f14c67a1c50840a8ef794692062cb6","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"0a4bfdabf72f1cc3ff673fb419e31ff1","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium",NA
"dac4fb8f85738ecbf0df1b1fdf7f7bc7","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium",NA
"8b0f9dd4300fb412179f8b738b4b9ae8","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium",NA
"b3356c680f61f70a202219ada97023ba","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium",NA
"ea801be42bf10874762cd004b3148803","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium",NA
"eb31a85c19865a972840efea7ec1c60b","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium",NA
"1e04d379e2e9c65fd84b0db0370b2b4b","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium",NA
"031214385f7dc917bfeefc2d64e90359","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"f5bb0e85a2783bb41ece289dcd7af298","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"6c2bb59b9fa177c8bec1eaa43440ad40","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"003282dc088aaf9cc542141231b22493","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"c5c368fa5d36912d8a01dbdf80cf9aea","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"b00fe76c76556a88635517475ef5b1f0","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"53d5e40abad0ff47bed890cd700eed66","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Catonella",NA
"5a046006560fba8f45600a5f03496ef1","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Catonella",NA
"a247eb38087e49867e163ad470fe9969","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Catonella",NA
"a9b7cc088e4b5163fee4edb6262af581","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Catonella",NA
"385409b2b7e6508a395cbd42e4f3e20c","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Catonella",NA
"93afd8eb1bb76b9a732bae7e7762c1c9","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Catonella",NA
"6f0fe0505bcbf31ccf88725ce54b4725","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"b32a92468f6a6a058a473d554ea58ee1","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Peptococcus",NA
"d9edfe40997a6da1040fecb878feb158","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","WAL_1855D",NA
"0073e6d76206d9027faae58015bb299a","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Peptoniphilus",NA
"0f495856f32d4e182ab55d1ce99ee5ae","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Peptoniphilus",NA
"1511310e458910c9da8531cb7b561b56","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Anaerococcus",NA
"0460cb999dca2691523673d0d92cacfe","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Anaerococcus",NA
"e25cffb164cbe1d1205ce122de6d36e9","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Anaerococcus",NA
"16d82d909af5dc904d7cf350ec2d380a","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Anaerococcus",NA
"96c5877f7b4fef0d30c952909b51543a","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Anaerococcus",NA
"227539a78f05a6a08946380e88587e02","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Anaerococcus",NA
"bfe7a2792e81d3da19241ee6c7cf5de0","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Anaerococcus",NA
"901e883ec5b6709d68028d1092a28fec","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Anaerococcus",NA
"b2e7c7b6f31534ebfb3bba5ffb10e3f8","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Anaerococcus",NA
"e9979b609e9d283b6eee8632c7191d9e","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Anaerococcus",NA
"8dc4520cb0b6df47a8b7d0832a252cb0","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Finegoldia",NA
"08be7ee7e2c933c064e9d7586f7c00aa","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium",NA
"3e19029051db471ae26b005252b75b98","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium",NA
